city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Trenel,-35.7000,-64.1333,Argentina,AR,La Pampa,minor,3387,3387
Ancasti,-28.8125,-65.5014,Argentina,AR,Catamarca,minor,3302,3302
La Viña,-25.4678,-65.5628,Argentina,AR,Salta,minor,3205,3205
San Francisco del Chañar,-29.7873,-63.9423,Argentina,AR,Córdoba,minor,3196,3196
Brea Pozo,-28.2500,-63.9500,Argentina,AR,Santiago del Estero,minor,3155,3155
Susques,-23.4006,-66.3672,Argentina,AR,Jujuy,minor,2974,2974
El Alto,-28.3000,-65.3667,Argentina,AR,Catamarca,minor,2849,2849
Rodeo,-30.2164,-69.1394,Argentina,AR,San Juan,minor,2625,2625
Melincué,-33.6500,-61.4500,Argentina,AR,Santa Fe,minor,2587,2587
Chumbicha,-28.8667,-66.2333,Argentina,AR,Catamarca,minor,2572,2572
Maquinchao,-41.2500,-68.7020,Argentina,AR,Río Negro,minor,2494,2494
Santa Isabel,-36.2500,-66.9333,Argentina,AR,La Pampa,minor,2493,2493
Charadai,-27.6546,-59.8629,Argentina,AR,Chaco,minor,2363,2363
La Cañada,-27.7089,-63.7736,Argentina,AR,Santiago del Estero,minor,2323,2323
San Carlos,-31.1775,-65.1025,Argentina,AR,Córdoba,minor,2181,2181
Salsacate,-31.3167,-65.0667,Argentina,AR,Córdoba,minor,2126,2126
San José,-28.3667,-65.7000,Argentina,AR,Catamarca,minor,2064,2064
Parera,-35.1466,-64.5020,Argentina,AR,La Pampa,minor,2030,2030
Antofagasta de la Sierra,-26.0594,-67.4064,Argentina,AR,Catamarca,minor,2022,2022
San Antonio,-28.9333,-65.1000,Argentina,AR,Catamarca,minor,1835,1835
Arraga,-28.0517,-64.2239,Argentina,AR,Santiago del Estero,minor,1831,1831
La Poma,-24.7167,-66.2167,Argentina,AR,Salta,minor,1789,1789
Bernasconi,-37.9000,-63.7167,Argentina,AR,La Pampa,minor,1783,1783
El Huecú,-37.6449,-70.5812,Argentina,AR,Neuquén,minor,1723,1723
Alto Río Senguer,-45.0419,-70.8234,Argentina,AR,Chubut,minor,1701,1701
Villa Castelli,-29.0180,-68.2270,Argentina,AR,La Rioja,minor,1697,1697
Camarones,-44.8000,-65.7000,Argentina,AR,Chubut,minor,1638,1638
José de San Martín,-44.0504,-70.4687,Argentina,AR,Chubut,minor,1612,1612
Sierra Colorada,-40.5875,-67.7583,Argentina,AR,Río Negro,minor,1542,1542
La Candelaria,-26.1000,-65.1000,Argentina,AR,Salta,minor,1480,1480
Villa Tulumba,-30.4000,-64.1167,Argentina,AR,Córdoba,minor,1474,1474
Paso de Indios,-43.8644,-69.0456,Argentina,AR,Chubut,minor,1367,1367
Tecka,-43.4926,-70.8108,Argentina,AR,Chubut,minor,1259,1259
Las Coloradas,-39.5500,-70.5833,Argentina,AR,Neuquén,minor,1213,1213
Rinconada,-22.4403,-66.1672,Argentina,AR,Jujuy,minor,1007,1007
Bañado de Ovanta,-28.1000,-65.3167,Argentina,AR,Catamarca,minor,971,971
General Guido,-36.6406,-57.7921,Argentina,AR,Buenos Aires,minor,959,959
Santa Catalina,-21.9453,-66.0526,Argentina,AR,Jujuy,minor,920,920
Tumbaya,-23.8575,-65.4670,Argentina,AR,Jujuy,minor,849,849
